No. polisi,Kunci,STNK,BPKB,Tahun,Mesin,Eksterior,Outcome
3312 TBU,0,0,0,2010,6,4,0
B 3531 SPC,1,0,0,2014,7,4,0
F 3327 DU,1,1,1,2016,9,6,2
B 4759 SCK,1,0,0,2017,8,8,2
B 6829 SRF,1,0,0,2009,5,4,0
F 5790 FBX,1,0,0,2017,6,6,1
B 3711 MZ,1,0,0,2011,7,4,0
B 4012 SCE,1,1,1,2017,9,5,1
B 3654 KOS,1,0,0,2015,7,7,1
B 6399 SKB,1,0,0,2009,6,5,0
B 6229 TMS,0,1,1,2017,8,7,1
B 3218 BFG,0,0,0,2010,5,6,0
B 6703 WLW,1,0,0,2016,8,6,1
B 6228 SUN,1,1,0,2009,6,6,0
B 644 ZMA,1,0,0,2017,8,8,1
F 5277 EB,1,0,0,2017,9,8,2
B 3910 SVL,0,0,0,2016,7,7,1
B 6894 WLU,1,0,0,2014,7,5,1
B 3173 TNZ,1,1,0,2011,3,5,0
B 6415 PXZ,1,0,0,2009,3,4,0
B 6235 TYG,1,0,1,2011,8,5,0
B 8712 EXM,1,1,1,2017,9,7,2
B 1936 WTY,1,0,0,2016,5,6,0
F 9867 DH,1,0,1,2017,7,5,0
B 3467 POC,1,0,0,2016,8,7,2
B 2736 XYZ,1,0,0,2011,7,5,1
F 5357 DT,1,0,0,2016,7,5,1
B 3166 PEL,1,0,0,2016,8,6,2
B 4832 TRN,1,1,0,2017,8,7,2
B 4426 TNY,1,0,0,2016,6,7,1
B 3733 SOZ,1,0,0,2014,7,4,0
BK 2257 RAC,1,0,0,2017,8,7,2
B 3103 TCT,0,0,0,2010,7,5,0
B 4620 SBE,1,1,0,2017,9,8,2
B 5675 TRD,1,0,0,2010,4,5,0
B 4387 SGB,1,0,0,2012,6,6,0
B 9075 TBJ,0,0,0,2010,6,5,0
B 1956 SFT,1,0,0,2017,8,8,2
B 3784 TUG,1,0,0,2016,7,6,1
B 4653 STR,1,0,0,2016,5,2,0
B 8326 SDF,1,0,1,2017,9,7,2
B 5398 SDT,1,0,0,2014,6,7,0
B 1735 TPY,1,0,0,2016,7,6,1
B 9473 EXT,0,0,0,2015,6,7,0
B 6385 SYP,1,1,0,2017,9,7,2
B 8573 WTR,1,0,0,2017,8,6,1
B 3956 WXY,1,1,1,2015,9,3,1
B 2786 PIT,0,1,0,2016,7,8,1
B 4826 TRM,1,0,0,2015,6,4,0
B 8293 PHJ,0,0,0,2015,8,7,1
B 9363 EXB,0,0,0,2014,7,5,0
B 6832 SBN,1,0,0,2017,8,6,1
B 5286 WYT,1,0,1,2015,7,4,1
B 9124 TKT,1,0,0,2017,6,8,0
B 9263 TVC,1,1,0,2009,6,7,0
B 7281 SHC,1,0,1,2014,7,7,1
B 3752 SGF,1,0,0,2015,8,7,1
B 3826 PUT,1,0,0,2015,8,7,2
B 7226 TLD,1,1,0,2013,6,6,0
B 6291 EXE,1,0,0,2016,8,6,0
B 8219 TUN,1,1,0,2011,8,7,0
B 6282 WVC,1,0,0,2017,6,6,0
B 9648 ECH,0,1,0,2017,8,7,1
B 8453 TKC,1,0,0,2015,8,7,0
B 8232 WYH,1,0,0,2013,6,6,0
B 5173 PXC,1,0,0,2017,6,7,2
B 9682 TLM,1,0,1,2010,7,6,0
B 8246 WST,1,0,0,2009,5,5,0
B 7297 ETY,0,1,0,2011,6,7,0
B 9156 TDF,1,0,0,2016,9,8,2
B 2374 SFG,1,0,0,2015,8,8,1
B 7836 SXC,1,0,0,2017,8,6,2
B 9826 TAB,0,1,0,2016,7,7,1
B 5092 EBC,1,0,0,2016,8,5,1
B 3080 SKL,1,0,0,2014,7,6,0
B 9039 PSH,1,0,0,2012,7,7,0
B 7026 EBN,1,0,0,2014,5,6,0
B 6960 TLN,1,1,0,2016,8,6,1
B 3402 TYV,1,0,0,2017,9,8,2
B 8020 TFC,1,0,0,2015,8,7,0
B 7387 PKM,1,0,0,2015,5,6,0
B 3745 WDF,1,0,1,2017,8,8,2
B 6302 PBX,1,1,1,2017,9,8,2
B 8269 TRC,1,0,0,2014,6,8,0
B 2476 WFT,1,0,0,2014,8,6,1
B 5490 TAD,1,0,0,2016,7,5,0
B 4215 PGT,1,0,0,2010,6,5,0
B 4185 TZA,1,0,0,2016,7,7,1
B 3025 TVD,1,0,1,2015,8,5,1
B 7129 TFT,0,0,0,2013,5,5,0
B 3937 TKD,1,1,1,2017,9,8,2
B 3064 TLF,1,0,0,2017,8,5,1
B 6223 WLD,1,0,0,2011,5,6,0
B 2649 ETK,1,0,0,2010,6,6,0
B 4638 TFH,1,1,0,2017,9,7,2
B 3157 TVC,1,0,0,2016,8,7,1
B 4034 TAF,1,0,1,2013,8,6,0
B 4863 TLP,1,0,0,2014,6,8,1
B 3729 POW,1,1,1,2017,9,8,2
B 2946 TJK,1,0,0,2015,6,6,0
