Kunci,SNTK,BPKB,Tahun,Mesin ,Eksterior,Interior,Outcome
1,0,0,2015,7,7,7,1
1,1,0,2015,5,7,6,0
1,0,0,2005,7,8,8,1
1,1,0,2017,7,8,7,2
1,0,0,2017,8,7,8,1
1,0,0,2009,6,6,7,0
1,0,0,2015,9,5,8,0
1,0,0,2016,9,7,6,1
1,1,0,2011,6,7,7,0
1,1,1,2017,9,8,8,2
1,0,0,2014,8,7,5,0
1,0,0,2005,5,5,6,0
1,0,0,2012,8,7,8,1
1,0,0,2014,8,8,7,1
1,0,1,2013,5,7,6,1
1,0,0,2017,4,8,8,0
1,0,0,2011,8,6,6,0
1,1,1,2016,9,8,6,2
1,0,1,2014,8,8,8,2
1,0,0,2014,8,5,5,0
1,1,0,2015,8,6,6,1
1,0,0,2015,8,7,7,1
1,1,0,2009,8,7,8,0
1,0,0,2017,6,8,8,0
1,0,0,2009,7,6,7,0
1,0,0,2016,8,7,8,1
1,0,0,2015,8,8,7,2
1,0,0,2011,6,6,7,0
1,1,0,2016,9,7,8,2
1,0,0,2011,7,6,7,0
1,0,0,2016,6,8,6,0
1,0,0,2008,6,6,4,0
1,0,0,2016,8,8,8,2
1,1,0,2017,9,8,7,2
1,0,0,2005,6,6,7,0
1,1,1,2017,9,6,8,2
1,1,1,2016,8,8,8,2
1,1,1,2015,8,8,7,1
1,0,0,2017,9,6,6,1
1,0,0,2015,6,9,8,0
1,1,0,2016,6,8,5,0
1,0,0,2013,6,7,7,0
1,1,0,2012,7,7,6,1
1,0,0,2016,8,8,8,1
1,1,1,2017,9,8,8,2
